slim_id	slim_name	entrez_gene_id	Gene	direction
DOID:1324	lung cancer	10970	CKAP4	up
DOID:1324	lung cancer	10978	CLP1	up
DOID:1324	lung cancer	114625	ERMAP	down
DOID:1324	lung cancer	10924	SMPDL3A	up
DOID:1324	lung cancer	10929	SRSF8	up
DOID:1324	lung cancer	25878	MXRA5	up
DOID:1324	lung cancer	23531	MMD	up
DOID:1324	lung cancer	10855	HPSE	up
DOID:1324	lung cancer	32	ACACB	down
DOID:1324	lung cancer	59	ACTA2	up
DOID:1324	lung cancer	52	ACP1	up
DOID:1324	lung cancer	53	ACP2	up
DOID:1324	lung cancer	97	ACYP1	down
DOID:1324	lung cancer	10766	TOB2	down
DOID:1324	lung cancer	10775	POP4	up
DOID:1324	lung cancer	23780	APOL2	down
DOID:1324	lung cancer	10653	SPINT2	up
DOID:1324	lung cancer	10631	POSTN	up
DOID:1324	lung cancer	25975	EGFL6	up
DOID:1324	lung cancer	25970	SH2B1	down
DOID:1324	lung cancer	25996	REXO2	up
DOID:1324	lung cancer	81602	CDADC1	down
DOID:1324	lung cancer	81671	VMP1	up
DOID:1324	lung cancer	23209	MLC1	down
DOID:1324	lung cancer	23213	SULF1	up
DOID:1324	lung cancer	7070	THY1	up
DOID:1324	lung cancer	7076	TIMP1	up
DOID:1324	lung cancer	81563	C1orf21	down
DOID:1324	lung cancer	7058	THBS2	up
DOID:1324	lung cancer	84939	MUM1	down
DOID:1324	lung cancer	7148	TNXB	down
DOID:1324	lung cancer	7139	TNNT2	down
DOID:1324	lung cancer	7153	TOP2A	up
DOID:1324	lung cancer	81533	ITFG1	up
DOID:1324	lung cancer	23235	SIK2	down
DOID:1324	lung cancer	79814	AGMAT	up
DOID:1324	lung cancer	79813	EHMT1	down
DOID:1324	lung cancer	10096	ACTR3	up
DOID:1324	lung cancer	8241	RBM10	down
DOID:1324	lung cancer	79852	EPHX3	up
DOID:1324	lung cancer	2117	ETV3	down
DOID:1324	lung cancer	2145	EZH1	down
DOID:1324	lung cancer	55030	FBXO34	up
DOID:1324	lung cancer	11140	CDC37	down
DOID:1324	lung cancer	2191	FAP	up
DOID:1324	lung cancer	11187	PKP3	up
DOID:1324	lung cancer	9789	SPCS2	up
DOID:1324	lung cancer	11226	GALNT6	up
DOID:1324	lung cancer	10147	SUGP2	down
DOID:1324	lung cancer	10127	ZNF263	down
DOID:1324	lung cancer	2214	FCGR3A	up
DOID:1324	lung cancer	8100	IFT88	down
DOID:1324	lung cancer	2247	FGF2	down
DOID:1324	lung cancer	11015	KDELR3	up
DOID:1324	lung cancer	9650	MTFR1	up
DOID:1324	lung cancer	2273	FHL1	down
DOID:1324	lung cancer	11040	PIM2	up
DOID:1324	lung cancer	3309	HSPA5	up
DOID:1324	lung cancer	9667	SAFB2	down
DOID:1324	lung cancer	3486	IGFBP3	up
DOID:1324	lung cancer	9551	ATP5J2	up
DOID:1324	lung cancer	8498	RANBP3	down
DOID:1324	lung cancer	9540	TP53I3	up
DOID:1324	lung cancer	50674	NEUROG3	down
DOID:1324	lung cancer	3417	IDH1	up
DOID:1324	lung cancer	9536	PTGES	up
DOID:1324	lung cancer	9528	TMEM59	up
DOID:1324	lung cancer	79661	NEIL1	down
DOID:1324	lung cancer	201163	FLCN	down
DOID:1324	lung cancer	201191	SAMD14	down
DOID:1324	lung cancer	2014	EMP3	down
DOID:1324	lung cancer	2023	ENO1	up
DOID:1324	lung cancer	9470	EIF4E2	up
DOID:1324	lung cancer	9465	AKAP7	down
DOID:1324	lung cancer	79586	CHPF	up
DOID:1324	lung cancer	9447	AIM2	up
DOID:1324	lung cancer	79590	MRPL24	up
DOID:1324	lung cancer	2073	ERCC5	down
DOID:1324	lung cancer	2078	ERG	up
DOID:1324	lung cancer	3559	IL2RA	up
DOID:1324	lung cancer	11267	SNF8	up
DOID:1324	lung cancer	11326	VSIG4	up
DOID:1324	lung cancer	3627	CXCL10	up
DOID:1324	lung cancer	22927	HABP4	down
DOID:1324	lung cancer	284443	ZNF493	down
DOID:1324	lung cancer	91647	ATPAF2	down
DOID:1324	lung cancer	10580	SORBS1	down
DOID:1324	lung cancer	3700	ITIH4	down
DOID:1324	lung cancer	10563	CXCL13	up
DOID:1324	lung cancer	10551	AGR2	up
DOID:1324	lung cancer	10548	TM9SF1	up
DOID:1324	lung cancer	10537	UBD	up
DOID:1324	lung cancer	22948	CCT5	up
DOID:1324	lung cancer	55322	C5orf22	up
DOID:1324	lung cancer	9245	GCNT3	up
DOID:1324	lung cancer	3775	KCNK1	up
DOID:1324	lung cancer	9276	COPB2	up
DOID:1324	lung cancer	91775	NXPE3	down
DOID:1324	lung cancer	10476	ATP5H	up
DOID:1324	lung cancer	10490	VTI1B	up
DOID:1324	lung cancer	78986	DUSP26	down
DOID:1324	lung cancer	55240	STEAP3	up
DOID:1324	lung cancer	54187	NANS	up
DOID:1324	lung cancer	10297	APC2	down
DOID:1324	lung cancer	3880	KRT19	up
DOID:1324	lung cancer	3898	LAD1	up
DOID:1324	lung cancer	3899	AFF3	down
DOID:1324	lung cancer	10284	SAP18	down
DOID:1324	lung cancer	9172	MYOM2	down
DOID:1324	lung cancer	56943	ENY2	up
DOID:1324	lung cancer	56935	C11orf75	up
DOID:1324	lung cancer	9133	CCNB2	up
DOID:1324	lung cancer	10330	CNPY2	up
DOID:1324	lung cancer	22796	COG2	up
DOID:1324	lung cancer	3934	LCN2	up
DOID:1324	lung cancer	10389	SCML2	down
DOID:1324	lung cancer	10371	SEMA3A	up
DOID:1324	lung cancer	84243	ZDHHC18	up
DOID:1324	lung cancer	84253	GARNL3	down
DOID:1324	lung cancer	3149	HMGB3	up
DOID:1324	lung cancer	10190	TXNDC9	up
DOID:1324	lung cancer	283232	TMEM80	down
DOID:1324	lung cancer	79954	NOL10	down
DOID:1324	lung cancer	3182	HNRNPAB	up
DOID:1324	lung cancer	9013	TAF1C	down
DOID:1324	lung cancer	9019	MPZL1	up
DOID:1324	lung cancer	3169	FOXA1	up
DOID:1324	lung cancer	79933	SYNPO2L	down
DOID:1324	lung cancer	10243	GPHN	down
DOID:1324	lung cancer	10245	TIMM17B	up
DOID:1324	lung cancer	10237	SLC35B1	up
DOID:1324	lung cancer	114049	WBSCR22	up
DOID:1324	lung cancer	1824	DSC2	up
DOID:1324	lung cancer	2958	GTF2A2	up
DOID:1324	lung cancer	6881	TAF10	up
DOID:1324	lung cancer	6886	TAL1	down
DOID:1324	lung cancer	1836	SLC26A2	down
DOID:1324	lung cancer	2900	GRIK4	down
DOID:1324	lung cancer	56649	TMPRSS4	up
DOID:1324	lung cancer	55737	VPS35	up
DOID:1324	lung cancer	4680	CEACAM6	up
DOID:1324	lung cancer	55765	C1orf106	up
DOID:1324	lung cancer	55766	H2AFJ	down
DOID:1324	lung cancer	596	BCL2	down
DOID:1324	lung cancer	57716	PRX	down
DOID:1324	lung cancer	51371	POMP	up
DOID:1324	lung cancer	6768	ST14	up
DOID:1324	lung cancer	51397	COMMD10	up
DOID:1324	lung cancer	6748	SSR4	up
DOID:1324	lung cancer	2823	GPM6A	down
DOID:1324	lung cancer	438	ASMT	down
DOID:1324	lung cancer	2889	RAPGEF1	down
DOID:1324	lung cancer	2877	GPX2	up
DOID:1324	lung cancer	2810	SFN	up
DOID:1324	lung cancer	51303	FKBP11	up
DOID:1324	lung cancer	51306	FAM13B	down
DOID:1324	lung cancer	51290	ERGIC2	up
DOID:1324	lung cancer	51297	BPIFA1	up
DOID:1324	lung cancer	4940	OAS3	up
DOID:1324	lung cancer	1594	CYP27B1	up
DOID:1324	lung cancer	4858	NOVA2	down
DOID:1324	lung cancer	4857	NOVA1	up
DOID:1324	lung cancer	124565	SLC38A10	up
DOID:1324	lung cancer	51193	ZNF639	down
DOID:1324	lung cancer	226	ALDOA	up
DOID:1324	lung cancer	229	ALDOB	up
DOID:1324	lung cancer	51185	CRBN	down
DOID:1324	lung cancer	5918	RARRES1	up
DOID:1324	lung cancer	54502	RBM47	up
DOID:1324	lung cancer	6999	TDO2	up
DOID:1324	lung cancer	1513	CTSK	up
DOID:1324	lung cancer	1508	CTSB	up
DOID:1324	lung cancer	6939	TCF15	down
DOID:1324	lung cancer	1545	CYP1B1	up
DOID:1324	lung cancer	6919	TCEA2	down
DOID:1324	lung cancer	1476	CSTB	up
DOID:1324	lung cancer	1478	CSTF2	up
DOID:1324	lung cancer	1460	CSNK2B	up
DOID:1324	lung cancer	1462	VCAN	up
DOID:1324	lung cancer	4780	NFE2L2	up
DOID:1324	lung cancer	55679	LIMS2	down
DOID:1324	lung cancer	51107	APH1A	up
DOID:1324	lung cancer	5828	PEX2	up
DOID:1324	lung cancer	952	CD38	up
DOID:1324	lung cancer	4298	MLLT1	down
DOID:1324	lung cancer	2517	FUCA1	up
DOID:1324	lung cancer	2525	FUT3	up
DOID:1324	lung cancer	2524	FUT2	up
DOID:1324	lung cancer	5701	PSMC2	up
DOID:1324	lung cancer	64112	MOAP1	down
DOID:1324	lung cancer	8528	DDO	down
DOID:1324	lung cancer	1382	CRABP2	up
DOID:1324	lung cancer	8558	CDK10	down
DOID:1324	lung cancer	8573	CASK	up
DOID:1324	lung cancer	1364	CLDN4	up
DOID:1324	lung cancer	5798	PTPRN	up
DOID:1324	lung cancer	1362	CPD	up
DOID:1324	lung cancer	1356	CP	up
DOID:1324	lung cancer	805	CALM2	up
DOID:1324	lung cancer	1315	COPB1	up
DOID:1324	lung cancer	811	CALR	up
DOID:1324	lung cancer	1301	COL11A1	up
DOID:1324	lung cancer	1300	COL10A1	up
DOID:1324	lung cancer	8612	PPAP2C	up
DOID:1324	lung cancer	4194	MDM4	down
DOID:1324	lung cancer	54732	TMED9	up
DOID:1324	lung cancer	4179	CD46	up
DOID:1324	lung cancer	2324	FLT4	down
DOID:1324	lung cancer	4122	MAN2A2	down
DOID:1324	lung cancer	5603	MAPK13	up
DOID:1324	lung cancer	64065	PERP	up
DOID:1324	lung cancer	1290	COL5A2	up
DOID:1324	lung cancer	8678	BECN1	up
DOID:1324	lung cancer	1289	COL5A1	up
DOID:1324	lung cancer	1281	COL3A1	up
DOID:1324	lung cancer	1278	COL1A2	up
DOID:1324	lung cancer	51706	CYB5R1	up
DOID:1324	lung cancer	57402	S100A14	up
DOID:1324	lung cancer	57406	ABHD6	down
DOID:1324	lung cancer	5684	PSMA3	up
DOID:1324	lung cancer	5690	PSMB2	up
DOID:1324	lung cancer	8737	RIPK1	down
DOID:1324	lung cancer	55924	FAM212B	down
DOID:1324	lung cancer	55901	THSD1	down
DOID:1324	lung cancer	790	CAD	up
DOID:1324	lung cancer	783	CACNB2	up
DOID:1324	lung cancer	79048	SECISBP2	down
DOID:1324	lung cancer	780	DDR1	up
DOID:1324	lung cancer	1195	CLK1	down
DOID:1324	lung cancer	1185	CLCN6	down
DOID:1324	lung cancer	54880	BCOR	down
DOID:1324	lung cancer	2673	GFPT1	up
DOID:1324	lung cancer	5521	PPP2R2B	up
DOID:1324	lung cancer	50507	NOX4	up
DOID:1324	lung cancer	608	TNFRSF17	up
DOID:1324	lung cancer	8843	HCAR3	up
DOID:1324	lung cancer	28985	MCTS1	up
DOID:1324	lung cancer	8822	FGF17	down
DOID:1324	lung cancer	688	KLF5	up
DOID:1324	lung cancer	9924	PAN2	down
DOID:1324	lung cancer	2628	GATM	up
DOID:1324	lung cancer	644	BLVRA	up
