doid_id	Disease	entrez_gene_id	Gene	PB-ROC	PN-ROC	direction
DOID:331	central nervous system disease	91137	SLC25A46	0.67	0.72	down
DOID:331	central nervous system disease	79590	MRPL24	0.68	0.69	down
DOID:331	central nervous system disease	10237	SLC35B1	0.68	0.75	down
DOID:331	central nervous system disease	4118	MAL	0.65	0.8	up
DOID:331	central nervous system disease	79084	WDR77	0.66	0.7	down
DOID:331	central nervous system disease	51650	MRPS33	0.69	0.7	down
DOID:331	central nervous system disease	28957	MRPS28	0.69	0.65	down
DOID:331	central nervous system disease	28998	MRPL13	0.66	0.7	down
DOID:331	central nervous system disease	4335	MNT	0.69	0.78	up
DOID:331	central nervous system disease	6009	RHEB	0.65	0.65	down
DOID:331	central nervous system disease	51002	TPRKB	0.67	0.68	down
DOID:331	central nervous system disease	7707	ZNF148	0.65	0.72	up
DOID:3907	lung squamous cell carcinoma	10970	CKAP4	0.81	0.74	up
DOID:3907	lung squamous cell carcinoma	10978	CLP1	0.67	0.69	up
DOID:3907	lung squamous cell carcinoma	114625	ERMAP	0.69	0.66	down
DOID:3907	lung squamous cell carcinoma	10924	SMPDL3A	0.68	0.66	up
DOID:3907	lung squamous cell carcinoma	10929	SRSF8	0.7	0.68	up
DOID:3907	lung squamous cell carcinoma	25878	MXRA5	0.73	0.69	up
DOID:3907	lung squamous cell carcinoma	23531	MMD	0.73	0.65	up
DOID:3907	lung squamous cell carcinoma	10855	HPSE	0.69	0.68	up
DOID:3907	lung squamous cell carcinoma	32	ACACB	0.71	0.7	down
DOID:3907	lung squamous cell carcinoma	59	ACTA2	0.66	0.65	up
DOID:3907	lung squamous cell carcinoma	52	ACP1	0.71	0.66	up
DOID:3907	lung squamous cell carcinoma	53	ACP2	0.7	0.68	up
DOID:3907	lung squamous cell carcinoma	97	ACYP1	0.65	0.68	down
DOID:3907	lung squamous cell carcinoma	10766	TOB2	0.75	0.67	down
DOID:3907	lung squamous cell carcinoma	10775	POP4	0.66	0.72	up
DOID:3907	lung squamous cell carcinoma	23780	APOL2	0.66	0.67	down
DOID:3907	lung squamous cell carcinoma	10653	SPINT2	0.7	0.8	up
DOID:3907	lung squamous cell carcinoma	10631	POSTN	0.79	0.67	up
DOID:3907	lung squamous cell carcinoma	25975	EGFL6	0.69	0.69	up
DOID:3907	lung squamous cell carcinoma	25970	SH2B1	0.76	0.67	down
DOID:3907	lung squamous cell carcinoma	25996	REXO2	0.73	0.69	up
DOID:3907	lung squamous cell carcinoma	81602	CDADC1	0.68	0.68	down
DOID:3907	lung squamous cell carcinoma	81671	VMP1	0.66	0.72	up
DOID:3907	lung squamous cell carcinoma	23209	MLC1	0.69	0.71	down
DOID:3907	lung squamous cell carcinoma	23213	SULF1	0.8	0.73	up
DOID:3907	lung squamous cell carcinoma	7070	THY1	0.72	0.65	up
DOID:3907	lung squamous cell carcinoma	7076	TIMP1	0.78	0.86	up
DOID:3907	lung squamous cell carcinoma	81563	C1orf21	0.73	0.7	down
DOID:3907	lung squamous cell carcinoma	7058	THBS2	0.77	0.71	up
DOID:3907	lung squamous cell carcinoma	84939	MUM1	0.65	0.68	down
DOID:3907	lung squamous cell carcinoma	7148	TNXB	0.66	0.75	down
DOID:3907	lung squamous cell carcinoma	7139	TNNT2	0.66	0.67	down
DOID:3907	lung squamous cell carcinoma	7153	TOP2A	0.67	0.69	up
DOID:3907	lung squamous cell carcinoma	81533	ITFG1	0.75	0.69	up
DOID:3907	lung squamous cell carcinoma	23235	SIK2	0.74	0.71	down
DOID:3907	lung squamous cell carcinoma	79814	AGMAT	0.71	0.65	up
DOID:3907	lung squamous cell carcinoma	79813	EHMT1	0.67	0.68	down
DOID:3907	lung squamous cell carcinoma	10096	ACTR3	0.68	0.69	up
DOID:3907	lung squamous cell carcinoma	8241	RBM10	0.66	0.65	down
DOID:3907	lung squamous cell carcinoma	79852	EPHX3	0.67	0.69	up
DOID:3907	lung squamous cell carcinoma	2117	ETV3	0.8	0.67	down
DOID:3907	lung squamous cell carcinoma	2145	EZH1	0.65	0.65	down
DOID:3907	lung squamous cell carcinoma	55030	FBXO34	0.75	0.65	up
DOID:3907	lung squamous cell carcinoma	11140	CDC37	0.71	0.68	down
DOID:3907	lung squamous cell carcinoma	2191	FAP	0.79	0.77	up
DOID:3907	lung squamous cell carcinoma	11187	PKP3	0.65	0.67	up
DOID:3907	lung squamous cell carcinoma	9789	SPCS2	0.76	0.75	up
DOID:3907	lung squamous cell carcinoma	11226	GALNT6	0.66	0.68	up
DOID:3907	lung squamous cell carcinoma	10147	SUGP2	0.74	0.7	down
DOID:3907	lung squamous cell carcinoma	10127	ZNF263	0.68	0.68	down
DOID:3907	lung squamous cell carcinoma	2214	FCGR3A	0.68	0.66	up
DOID:3907	lung squamous cell carcinoma	8100	IFT88	0.68	0.66	down
DOID:3907	lung squamous cell carcinoma	2247	FGF2	0.66	0.67	down
DOID:3907	lung squamous cell carcinoma	11015	KDELR3	0.65	0.71	up
DOID:3907	lung squamous cell carcinoma	9650	MTFR1	0.66	0.67	up
DOID:3907	lung squamous cell carcinoma	2273	FHL1	0.67	0.66	down
DOID:3907	lung squamous cell carcinoma	11040	PIM2	0.65	0.7	up
DOID:3907	lung squamous cell carcinoma	3309	HSPA5	0.66	0.67	up
DOID:3907	lung squamous cell carcinoma	9667	SAFB2	0.73	0.68	down
DOID:3907	lung squamous cell carcinoma	3486	IGFBP3	0.7	0.77	up
DOID:3907	lung squamous cell carcinoma	9551	ATP5J2	0.79	0.68	up
DOID:3907	lung squamous cell carcinoma	8498	RANBP3	0.68	0.68	down
DOID:3907	lung squamous cell carcinoma	9540	TP53I3	0.66	0.66	up
DOID:3907	lung squamous cell carcinoma	50674	NEUROG3	0.74	0.67	down
DOID:3907	lung squamous cell carcinoma	3417	IDH1	0.74	0.7	up
DOID:3907	lung squamous cell carcinoma	9536	PTGES	0.68	0.69	up
DOID:3907	lung squamous cell carcinoma	9528	TMEM59	0.66	0.7	up
DOID:3907	lung squamous cell carcinoma	79661	NEIL1	0.7	0.65	down
DOID:3907	lung squamous cell carcinoma	201163	FLCN	0.7	0.67	down
DOID:3907	lung squamous cell carcinoma	201191	SAMD14	0.73	0.73	down
DOID:3907	lung squamous cell carcinoma	2014	EMP3	0.66	0.65	down
DOID:3907	lung squamous cell carcinoma	2023	ENO1	0.67	0.74	up
DOID:3907	lung squamous cell carcinoma	9470	EIF4E2	0.65	0.66	up
DOID:3907	lung squamous cell carcinoma	9465	AKAP7	0.68	0.82	down
DOID:3907	lung squamous cell carcinoma	79586	CHPF	0.66	0.72	up
